"CRASH_ID","UNIT_NBR","PRSN_NBR","CHARGE","CITATION_NBR"
14768622,1,1,"DRIVING WHILE INTOXICATED",""
14838637,1,1,"DWI","1600000015"
14838641,1,1,"RAN RED LIGHT SOLID (TC 544.007)","L20440"
14838641,2,1,"NO DRIVER'S LICENSE (TC521.025)","L23141"
14838668,1,1,"DRIVING WHILE INTOXICATED","TX4IC50SRJD3"
14838669,2,1,"DWI W/BAC >.015","2015-000006"
14838670,1,1,"DRIVING WHILE INTOXICATED","2016-000003"
14838685,1,1,"FAILED TO DRIVE SINGLE LANE, NOL, NO INS","138434825"
14838693,1,1,"DRIVING WHILE INTOXICATED","TX4IC60UKQND"
14838768,2,1,"DWI",""
14838834,1,1,"NO DRIVERS LICENSE","10019200"
14838834,1,1,"FAIL TO CONTROL SPEED","10019200"
14838834,1,1,"LEAVING THE SCENE","10019200"
14838841,1,1,"FTLI   / DWLI","16-43861"
14838841,1,1,"LEAVING SCENE OF ACCIDENT","16-43861"
14838841,1,1,"FAIL TO DRIVE IN SINGLE LANE","16-43861"
14838841,1,1,"FAIL TO REPORT ACCIDENT","16-43861"
14838842,1,1,"LEAVING SCENE OF ACCIDENT","16-43859"
14838842,1,1,"FAIL TO REPORT ACCIDENT","16-43859"
14838842,1,1,"FAIL TO DRIVE IN SINGLE LANE","16-43859"
14838842,1,1,"FTLI","16-43859"
14838866,1,1,"FAIL TO MAINTAIN SINGLE LANE","L21074"
14838877,1,1,"POSS PG 3 UNDER 28","16000015"
14838877,1,1,"DWI","16000015"
14838877,1,1,"POSS MJ UNDER 2","16000015"
14838972,2,1,"FAIL TO CONTROL SPEED","E010515"
14838977,1,1,"UNSAFE SPEED","TS00132638"
14839046,1,1,"NO VALID OPERATOR LICENSE","M042254"
14839046,1,1,"NO VALID LIABILITY INSURANCE","M042254"
14839047,1,1,"CRIMINAL MISCHIEF $2500 - $30000","2016000008"
14839047,1,1,"DWI","2016000008"
14839047,1,1,"EVADING IN VEHICLE","2016000008"
14839048,1,1,"CRIMINAL MISHCHIEF OVER $2500","2016-000008"
14839048,1,1,"EVADING IN  A VEHICLE","2016-000008"
14839048,1,1,"DWI OVER .15","2016-000008"
14839097,2,1,"NO OPERATING LICENSE","P 919274"
14839100,2,1,"NO OPERATORS LICENSE","M103992A"
14839166,1,1,"NO OPERATORS LICENSE","M105503"
14839211,1,1,"DRIVING WHILE LICENSE INVALID","S571534"
14839233,1,1,"FAIL TO REPORT NON INJURY ACCIDENT AT ONCE  TO  AUTHORITIES","TX4IAC0VAP35"
14839233,1,1,"UNSAFE SPEED","TX4IAC0VAP35"
14839240,1,1,"NO DRIVER'S LICENSE",""
14839240,1,1,"FAILED TO CONTROL SPEED ACCIDENT","138958691"
14839272,1,1,"FAIL TO CONTROL SPEED","AT10352542"
14839307,1,1,"DRIVING WHILE  INTOXICATED","16-105"
14839307,2,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","T837957"
14839314,1,1,"FAIL TO DRIVE IN SINGLE LANE","EE0207106"
14839330,1,1,"NO INSURANCE","P889293"
14839342,1,1,"FAILED TO CONTROL SPEED","E0021752"
14839343,2,1,"DWLI","M-054690"
14839345,1,1,"RAN RED LIGHT  TRC.  544.007","718673"
14839345,1,1,"EXPIRED REGISTRATION","718673"
14839345,2,1,"NO DRIVER'S LICENSE","718674"
14839404,1,1,"FAILED TO CONTROL SPEED","138474077"
14839435,1,1,"DWI",""
14839442,1,1,"DRIVING WHILE INTOXICATED",""
14839472,1,1,"FAIL TO MAINTAIN A SINGLE MARKED LANE  TRC.  545.060","719825"
14839510,1,1,"FAIL TO CONTROL SPEED","10330959"
14839517,1,1,"DRIVING WHILE INTOXICATED 3RD OR MORE","16000039"
14839519,1,1,"UNSAFE SPEED","TX4IC50PTGSW"
14839551,1,1,"NO INSURANCE","M020718"
14839551,1,1,"NO OPERATORS LICENSE","M020718"
14839561,1,1,"ACCIDENT INVOLVING DAMAG >200",""
14839561,1,1,"NO DL",""
14839615,1,1,"DUTY VON STRIKING UNATTENDED VEHICLE","TRC  550.024"
14839642,1,1,"FAILED TO DRIVE IN A SINGLE LANE (ACCIDENT)","138567536"
14839675,1,1,"FAIL TO CONTROL SPEED","S953354"
14839675,1,1,"EXPIRED REGISTRATION","S953354"
14839675,1,1,"NO INSURANCE","S953354"
14839713,1,1,"FAILURE TO CONTROL SPEED","138462317"
14839721,1,1,"FAIL TO CONTROL SPEED","441059"
14839735,1,1,"FAILURE TO CONTROL SPEED","C150258"
14839747,1,1,"TURNED WHEN UNSAFE","436224"
14839755,1,1,"NO LIABILITY INSURANCE","M102870"
14839755,2,1,"DRIVING WHILE LICENSE INVALID","M106880-B"
14839755,2,1,"NO LIABILITY INSURANCE","M106880-A"
14839761,1,1,"NO LIABILITY INSURANCE","M 036706-A"
14839761,1,1,"DRIVING WHILE LICENSE INVALID","M 036706-C"
14839761,1,1,"FAILURE TO DISPLAY VALID LICENSE PLATE","M 036706-B"
14839783,1,1,"DRIVING WHILE INTOXICATED","TAKEN INTO CUSTODY"
14839783,1,1,"DUTY UPON STRIKING STRUCTURE, FIXTURE OR HIGHWAY LANDSCAPING","TAKEN INTO CUSTODY"
14839807,1,1,"NO LIABILTY INSURANCE","NO. M104917"
14839807,1,1,"NO OPERATOR LICENSE","NO. M104917"
14839836,1,1,"NO INSURANCE","M105374"
14839850,1,1,"UNSAFE SPEED","TX4ID20SCP6R"
14839852,1,1,"FAIL TO DRIVE IN A SINGLE LANE","TX4ICA0UOVPJ"
14839875,1,1,"FAILED TO CONTROL SPEED (ACC)","138470437"
14839880,1,1,"FAIL TO CONTROL SPEED (ACCIDENT)","138073031"
14839880,1,1,"FAILURE TO DISPLAY VALID DRIVER LICENSE TO PEACE OFFICER","138073031"
14839887,1,1,"NO INSURANCE","138631823"
14839908,1,1,"NO DRIVERS LICENSE","138314066"
14839908,1,1,"RAN RED LIGHT","138314066"
14839921,2,1,"DRIVING WHILE LICENSE INVALID","E0081116"
14839939,1,1,"EXPIRED REGISTRATION","484238"
14839939,1,1,"FAIL TO CONTROL SPEED","484238"
14839966,1,1,"DRIVING WHILE INTOXICATED BAC >= 0.15","16-002025"
14839969,2,1,"NO INSURANCE",""
14839969,2,1,"DRIVING WITHOUT A DRIVERS LICENSE",""
14839998,1,1,"UNSAFE SPEED","TX4IC30JCI00"
14840001,1,1,"NO INSURANCE","138409661"
14840005,2,1,"DRIVING WHILE INTOXICATED",""
14840017,1,1,"FAILURE TO STOP AND GIVE INFORMATION",""
14840030,1,1,"DWLI W/ PREV. CONVICTIONS","1500000091"
14840036,1,1,"TURNED IMPROPER -WRONG LANE (ACCIDENT)","138516314"
14840036,2,1,"NO DRIVER'S LICENSE","138516323"
14840049,1,1,"NO VALID TEXAS DRIVER'S LICENSE","E00-123104"
14840049,1,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","E00-123104"
14840049,2,1,"NO VALID TEXAS DRIVER'S LICENSE","E00-123103"
14840063,1,1,"DWI","SAPD16001537"
14840064,1,1,"FAIL TO CONTROL SPEED","04603"
14840065,1,1,"UNSAFE SPEED","03802"
14840072,1,1,"FAILE TO DISPLAY DL","91091095"
14840075,1,1,"FAILED TO DISPLAY DL","T-01542067"
14840081,1,1,"TURN WHEN UNSAFE","16-00044"
14840107,2,1,"EXPIRED REGISTRATION","M104896C"
14840107,2,1,"NO LIABILITY INSURANCE","M104896A"
14840107,2,1,"NOL","M104896B"
14840111,2,1,"RAN RED LIGHT.","138283591"
14840114,1,1,"INTOXICATION ASSAULT PC 49.07","16-11"
14840118,1,1,"FAILURE TO CONTROL SPEED","138073424"
14840118,2,1,"NO DRIVER LICENSE","1380733415"
14840137,1,1,"FAIL TO MAINTAIN SAFE ASSURED DISTANCE","C3160000010"
14840150,1,1,"FAIL TO MAINTAIN FINANCIAL RESP.","L117576"
14840150,1,1,"F.T.Y.R.O.W. STOP SIGN","L117576"
14840230,1,1,"UNSAFE SPEED","TX4ICI0SBBRH"
14840230,1,1,"FAIL TO REPORT NON-INJURY CRASH AT ONCE","TX4ICI0SBBRH"
14840262,1,1,"UNSAFE SPEED","439814"
14840262,1,1,"NO DRIVERS LICENSE","439814"
14840269,1,1,"FAILURE TO CONTROL SPEED","18-869118"
14840277,1,1,"FAIL TO CONTROL SPEED","SUMMONS"
14840283,1,1,"EXPIRED OPERATOR'S LICENSE","E0002519"
14840283,1,1,"FAILED TO YIELD ROW TURNING LEFT","E0002519"
14840283,2,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","E0002518"
14840291,1,1,"UNSAFE/IMPROPER TURN","EE-11072"
14840296,1,1,"NO DRIVERS LICENSE",""
14840296,1,1,"FAILURE TO REPORT A COLLISION",""
14840296,1,1,"EXPIRED REGISTRATION",""
14840296,1,1,"FTMFR",""
14840301,2,1,"NO DRIVER LICENSE","E00015291"
14840303,1,1,"FAILED TO CONTROL SPEED (ACCIDENT)","138515623"
14840368,1,1,"FTYRW CAUSE ACCIDENT","18-863966"
14840368,2,1,"NOL","18-872130"
14840432,1,1,"FAILED TO DRIVE IN A SINGLE LANE","138315195"
14840432,1,1,"NOL, NO REGISTRATION, AND NO INSURANCE","138315195"
14840441,1,1,"ACCIDENT INVOLVING DAMAGE TO VEHICLE","16-164"
14840441,1,1,"NO DRIVER LICENSE","CS112418"
14840441,2,1,"DRIVING WITH NO DL","CS112419"
14840448,1,1,"FTYROW FROM A PRIVATE DRIVEWAY","440153 (MAILED)"
14840460,1,1,"DISREGARD NO PASSING ZONE  ( SIGNS OR MARKINGS )","TX  4ICD0SSU3C"
14840462,1,1,"DRIVING WHILE LICENSE IS INVALID","M002819"
14840489,1,1,"FOLLOWING TO CLOSELY","M034584-1"
14840489,1,1,"EXPIRED REGISTRATION","M034583-2"
14840489,1,1,"NOL","M034583-1"
14840489,1,1,"NO INSURANCE","M034583-3"
14840494,1,1,"DWI",""
14840503,1,1,"FAIL TO YIELD RIGHT-OF-WAY","E0068862"
14840517,1,1,"NO DRIVER LICENSE","TX4IEGOUXBE1"
14840523,1,1,"FAIL TO CONTROL SPEED","E0061795"
14840530,1,1,"NONE",""
14840537,2,1,"NO/EXP MVR","18-874751.2"
